ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
1018,1975,Nacional 1975,Gimnasia (J),10,6,7,37,23,30,25,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Escudo_del_Club_Gimnasia_y_Esgrima_Jujuy.svg/150px-Escudo_del_Club_Gimnasia_y_Esgrima_Jujuy.svg.png
1019,1975,Metropolitano 1975,Gimnasia (LP),11,15,12,45,38,55,71,-16,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1020,1975,Nacional 1975,Gimnasia (LP),4,9,3,15,16,27,31,-4,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1021,1975,Nacional 1975,Gimnasia (M),7,4,5,26,16,22,16,6,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1022,1975,Metropolitano 1975,Huracan,21,8,9,72,38,73,46,27,https://logodetimes.com/times/huracan/logo-huracan-256.png
1023,1975,Nacional 1975,Huracan,9,7,1,28,17,33,24,9,https://logodetimes.com/times/huracan/logo-huracan-256.png
1024,1975,Metropolitano 1975,Independiente,12,17,9,45,38,49,55,-6,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1025,1975,Nacional 1975,Independiente,6,3,7,25,16,30,20,10,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1026,1975,Nacional 1975,Jorge Newbery (J),3,10,3,12,16,14,24,-10,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1027,1975,Nacional 1975,Juv. Alianza (SJ),6,10,0,18,16,24,39,-15,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1028,1975,Nacional 1975,Juv. Antoniana,2,7,7,13,16,17,24,-7,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1029,1975,Metropolitano 1975,Newells,11,11,16,49,38,47,43,4,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
